skill_name,jobs_count,total_clean_jobposts
business administration,3546,
photoshop,3542,
hardware,3525,
innovative,3511,
python,3509,
supply chain,3472,
supervisory,3470,
computer literate,3463,
trends,3459,
health,3399,
strong analytical skills,3390,
leadership skills,3368,
driving license,3309,
oil,3299,
gas,3259,
interpersonal communication,3258,
https,3253,
industrial,3248,
certifications,3164,
consultants,3163,
marine,3154,
civil engineering,3140,
negotiation skills,3129,
business development,3112,
css,3071,
databases,3063,
credit,3050,
expert,3002,
hospitality,3002,
internet,2992,
law,2982,
microsoft office applications,2974,
road,2949,
organised,2942,
ms office applications,2935,
visual,2911,
history,2865,
financial services,2858,
self driven,2854,
methodology,2847,
outlook,2841,
coordination,2838,
diversity,2816,
structural,2804,
microsoft excel,2798,
energy,2792,
communication skill,2789,
designing,2786,
best practices,2774,
disposition,2770,
itil,2760,
japanese,2760,
teaching,2755,
sql server,2752,
adobe,2741,
adaptable,2739,
vendor,2725,
specifications,2721,
writing skills,2712,
hotel,2686,
overseas,2684,
working environment,2683,
erp,2671,
cloud,2650,
asp,2629,
collaborative,2619,
business acumen,2605,
teamwork,2601,
modelling,2593,
investment,2589,
deployment,2582,
risk management,2571,
work effectively,2568,
j2ee,2540,
impact,2533,
acca,2521,
frameworks,2520,
orientation,2518,
economics,2497,
application development,2494,
awareness,2480,
xml,2465,
servers,2461,
healthcare,2454,
decision making,2410,
detail oriented,2409,
cisco,2405,
offshore,2396,
selling,2375,
social media,2367,
result oriented,2358,
motivation,2357,
collaboration,2352,
customer oriented,2351,
attention to details,2345,
web services,2324,
storage,2323,
minutes,2322,
multi tasking,2320,
shell,2312,
facebook,2306,
communicator,2306,
crm,2290,
statistics,2281,
managerial,2262,
hardworking,2250,
results oriented,2249,
meet deadlines,2247,
installation,2236,
shipping,2229,
literacy,2223,
modeling,2202,
flexibility,2201,
sdlc,2187,
asset,2163,
targets,2161,
consultancy,2160,
oral communication,2154,
computer skills,2150,
excel and powerpoint,2128,
outgoing,2124,
microsoft word,2122,
legal,2117,
policy,2114,
mysql,2103,
electronics engineering,2101,
presentations,2097,
ownership,2090,
human resource,2087,
groups,2065,
networks,2057,
assurance,2041,
php,2036,
advertising,2032,
ms words,2029,
illustrator,2025,
quantitative,2022,
controls,2018,
confidentiality,2014,
mba,2000,
consumer,1993,
cpa,1983,
html5,1978,
coaching,1972,
jquery,1966,
talent assessment,1957,
mathematics,1955,
procurement,1950,
chemistry,1947,
ms sql,1943,
tax,1940,
computing,1935,
human resources,1931,
data analysis,1905,
people management,1897,
tracking,1886,
engagement,1881,
aws,1860,
mom,1857,
operating systems,1854,
house,1827,
information systems,1826,
plant,1804,
stress,1801,
senior management,1799,
change management,1794,
completion,1790,
vmware,1787,
perl,1782,
government,1781,
trading,1768,
coding,1762,
commerce,1754,
deliverables,1751,
iso,1748,
pharmaceutical,1748,
inventory,1744,
intelligence,1740,
protection,1726,
enthusiastic,1726,
tcp,1717,
computer literacy,1712,
android,1707,
interaction,1706,
vision,1698,
optimization,1675,
mechatronics,1670,
business management,1669,
distribution,1669,
performing,1650,
architectural,1647,
revenue,1637,
components,1637,
creativity,1634,
sharepoint,1628,
clinical,1627,
patterns,1624,
parties,1622,
business requirements,1622,
event,1603,
eye for details,1597,
ios,1596,
nursing,1593,
ibm,1590,
organisational skills,1589,
