skill,filter_type,skill_subsuper,freqcy_2015,freqcy_2016,freqcy_2017,y2015_71338,y2016_232021,y2017_129322
grids,no_filter,,21,30,16,,,
pharmacists,no_filter,,21,17,5,,,
conditioning,subsuper,,22,463,139,,,
gadgets,no_filter,,22,61,36,,,
advertising and promotions,subsuper,,22,7,5,,,
basic programming,subsuper,,23,131,108,,,
excel macros,no_filter,,23,167,76,,,
self management,subsuper,,23,86,65,,,
active team player,subsuper,,24,256,129,,,
people leadership,no_filter,,24,46,49,,,
premiere,subsuper,,24,231,42,,,
metering,subsuper,,24,82,33,,,
relocations,no_filter,,24,14,5,,,
innovative thinking,subsuper,,25,85,94,,,
personal computers,subsuper,,25,23,25,,,
driving growth,subsuper,,25,20,25,,,
minute taking,no_filter,,25,11,7,,,
control self assessment,subsuper,,25,16,6,,,
banking and finance,subsuper,,27,379,2059,,,
auto cad,subsuper,,27,319,177,,,
marketing digital,no_filter,,27,70,65,,,
copy writing,no_filter,,27,101,57,,,
personal protective equipment,no_filter,,27,10,21,,,
magic,no_filter,,27,22,7,,,
supervisory experience,subsuper,,28,1352,674,,,
managerial experience,subsuper,,28,740,296,,,
leading projects,no_filter,,28,74,59,,,
casualty,no_filter,,28,83,52,,,
pet,no_filter,,28,38,35,,,
teambuilding,no_filter,,28,30,20,,,
south america,no_filter,,28,7,14,,,
goal oriented,no_filter,,29,541,385,,,
patience,no_filter,,29,515,301,,,
early childhood,no_filter,,29,983,283,,,
dairy,no_filter,,29,85,56,,,
visionary,subsuper,,29,70,54,,,
good clinical practice,subsuper,,29,48,25,,,
detail engineering,no_filter,,29,42,22,,,
issues management,no_filter,,29,23,21,,,
banquets,no_filter,,29,15,10,,,
coordinate events,no_filter,,29,3,2,,,
procure to pay,no_filter,,30,40,34,,,
fresh ideas,no_filter,,30,35,23,,,
supplements,subsuper,,30,8,22,,,
master planning,no_filter,,30,31,15,,,
brand communications,no_filter,,30,35,9,,,
facilitators,no_filter,,30,8,7,,,
personas,no_filter,,31,78,30,,,
trucks,subsuper,,31,30,23,,,
operations excellence,no_filter,,31,11,15,,,
client communications,no_filter,,31,23,13,,,
completions,no_filter,,31,24,7,,,
new hire orientation,subsuper,,31,8,3,,,
scrum master,subsuper,,32,200,154,,,
inpatient,no_filter,,32,41,26,,,
it skills,no_filter,,32,915,0,,,
special needs,no_filter,,33,141,103,,,
rock,no_filter,,33,39,50,,,
stands,no_filter,,33,24,9,,,
interpersonal skill,subsuper,,33,1293,0,,,
listening skills,subsuper,,33,558,0,,,
sense of responsibility,subsuper,,34,1141,673,,,
business events,subsuper,,34,55,26,,,
open minded,no_filter,,35,439,387,,,
terrorism,subsuper,,35,38,31,,,
