skill,filter_type,skill_subsuper,freqcy_2015,freqcy_2016,freqcy_2017,y2015_71338,y2016_232021,y2017_129322
determination,subsuper,,187,617,328,,,
trusted advisor,no_filter,,188,142,96,,,
acquiring,no_filter,,189,137,87,,,
route,subsuper,,190,213,143,,,
utility,no_filter,,190,209,132,,,
disciplined,no_filter,,191,1058,646,,,
detailing,no_filter,,191,300,169,,,
images,no_filter,,196,106,88,,,
service excellence,no_filter,,197,295,240,,,
preparation of reports,no_filter,,197,44,22,,,
residential,subsuper,,201,553,248,,,
supportive,no_filter,,201,263,198,,,
induction,no_filter,,201,67,53,,,
corporate secretarial,subsuper,,202,345,218,,,
land,subsuper,,204,388,147,,,
new product development,subsuper,,206,88,64,,,
stories,no_filter,,209,245,151,,,
key account,subsuper,,209,289,72,,,
counselling,subsuper,,211,310,251,,,
north america,no_filter,,217,84,54,,,
lean,subsuper,,218,1196,551,,,
presales,subsuper,,223,355,179,,,
radio,subsuper,,223,243,140,,,
debt,subsuper,,223,271,97,,,
onshore,no_filter,,227,603,207,,,
container,subsuper,,233,260,256,,,
organised,no_filter,,235,2942,1671,,,
recipes,no_filter,,236,197,83,,,
fluent,subsuper,,238,6556,4025,,,
ships,subsuper,,242,203,129,,,
script,subsuper,,243,1253,681,,,
classroom,no_filter,,243,634,276,,,
press,subsuper,,243,187,104,,,
administrative work,no_filter,,247,229,118,,,
monthly closing,no_filter,,247,15,19,,,
general administrative duties,no_filter,,248,40,24,,,
audio,no_filter,,249,503,324,,,
replenishment,no_filter,,249,44,50,,,
monthly reporting,no_filter,,252,61,21,,,
evidence,no_filter,,253,622,405,,,
ingredients,no_filter,,254,236,202,,,
restaurants,no_filter,,254,498,183,,,
reservations,subsuper,,254,173,91,,,
imaging,subsuper,,256,433,259,,,
certifications,subsuper,,257,3164,2207,,,
vietnam,no_filter,,258,215,153,,,
feed,no_filter,,259,153,87,,,
motivation,no_filter,,260,2357,1170,,,
personality,subsuper,,261,7608,3786,,,
port,no_filter,,262,306,196,,,
diagnostics,subsuper,,262,306,125,,,
data centre,subsuper,,263,650,388,,,
customer relationship,subsuper,,264,678,189,,,
buyers,no_filter,,265,118,58,,,
institutional clients,no_filter,,266,48,41,,,
game,subsuper,,267,411,222,,,
strength,no_filter,,268,381,280,,,
identity,subsuper,,272,734,506,,,
forwarders,no_filter,,276,99,30,,,
systematic,no_filter,,278,1192,602,,,
club,no_filter,,282,296,130,,,
resourceful,no_filter,,283,6738,3827,,,
patterns,no_filter,,284,1624,618,,,
cell,subsuper,,284,596,208,,,
hospitality,subsuper,,292,3002,1151,,,
disputes,subsuper,,295,114,77,,,
grants,no_filter,,296,147,102,,,
issue resolution,no_filter,,299,173,135,,,
southeast asia,no_filter,,312,239,187,,,
books,subsuper,,318,150,99,,,
ambitious,no_filter,,319,632,465,,,
certified,subsuper,,320,3957,2060,,,
vehicles,subsuper,,321,254,123,,,
marketing communications,subsuper,,333,675,435,,,
service level agreements,no_filter,,335,130,97,,,
interpretation,subsuper,,339,595,336,,,
problem resolution,no_filter,,339,333,241,,,
trend,subsuper,,339,301,141,,,
thailand,no_filter,,354,257,171,,,
directing,no_filter,,354,195,141,,,
middle east,no_filter,,355,173,110,,,
buying,subsuper,,361,411,248,,,
business partner,subsuper,,365,216,176,,,
self starter,subsuper,,367,4548,3295,,,
installations,no_filter,,367,354,179,,,
balances,no_filter,,367,83,84,,,
teachers,no_filter,,377,607,277,,,
clearing,subsuper,,381,333,180,,,
library,no_filter,,382,460,356,,,
plays,no_filter,,385,105,71,,,
stability,no_filter,,386,279,124,,,
flexibility,no_filter,,388,2201,1746,,,
fix,subsuper,,392,459,294,,,
treatment,subsuper,,394,678,192,,,
enthusiastic,no_filter,,399,1726,1229,,,
cargo,no_filter,,404,333,256,,,
market intelligence,no_filter,,404,103,87,,,
team work,no_filter,,406,842,623,,,
attention to detail,no_filter,,408,6470,4762,,,
hotels,no_filter,,416,506,358,,,
good communication skills,subsuper,,418,9196,0,,,
printers,subsuper,,425,259,212,,,
effective communication,no_filter,,427,1475,1127,,,
meticulous,no_filter,,435,13792,8125,,,
oral,no_filter,,435,8655,4464,,,
trust,no_filter,,443,884,710,,,
news,no_filter,,446,284,226,,,
collections,no_filter,,446,274,133,,,
variances,no_filter,,461,83,61,,,
business plan,subsuper,,464,82,81,,,
quantitative,subsuper,,467,2022,1476,,,
stores,no_filter,,467,259,177,,,
territory,no_filter,,468,320,180,,,
problem solving skills,no_filter,,469,9758,0,,,
business growth,subsuper,,470,113,106,,,
exercises,no_filter,,471,261,134,,,
mom,no_filter,,475,1857,1204,,,
emergency,subsuper,,475,448,200,,,
indonesia,no_filter,,476,661,316,,,
real time,subsuper,,481,752,537,,,
issuing,no_filter,,496,119,76,,,
presenting,subsuper,,502,820,638,,,
chemical,subsuper,,506,4169,1389,,,
image,subsuper,,511,830,413,,,
diversity,no_filter,,512,2816,1543,,,
visual,subsuper,,512,2911,591,,,
partnering,subsuper,,518,651,276,,,
human resource,subsuper,,522,2087,634,,,
equipments,no_filter,,530,412,206,,,
margin,no_filter,,540,264,1491,,,
assurance,subsuper,,546,2041,476,,,
funds,subsuper,,547,333,222,,,
reconciliations,no_filter,,549,180,92,,,
reputation,no_filter,,551,310,218,,,
investigations,subsuper,,561,350,211,,,
movement,no_filter,,564,151,138,,,
property,subsuper,,576,1101,359,,,
voice,subsuper,,586,716,423,,,
administrator,subsuper,,594,816,436,,,
producing,subsuper,,594,677,408,,,
organized,no_filter,,597,5820,3659,,,
process improvements,no_filter,,598,323,223,,,
special projects,no_filter,,598,133,66,,,
templates,subsuper,,599,345,250,,,
rewards,subsuper,,600,807,401,,,
human resources,subsuper,,601,1931,1229,,,
client service,subsuper,,615,862,479,,,
reliable,no_filter,,620,1548,950,,,
controlling,subsuper,,621,507,294,,,
factory,subsuper,,627,342,211,,,
seminars,no_filter,,630,227,137,,,
flexible,subsuper,,633,6418,3380,,,
analysts,no_filter,,670,462,181,,,
promoting,no_filter,,689,385,194,,,
stage,no_filter,,697,462,304,,,
outgoing,no_filter,,710,2124,1152,,,
treasury,subsuper,,712,1030,638,,,
courses,no_filter,,716,1402,642,,,
orientation,subsuper,,720,2518,1753,,,
kitchen,no_filter,,730,1507,589,,,
marine,no_filter,,733,3154,1043,,,
pre sales,no_filter,,733,647,443,,,
recording,subsuper,,736,325,178,,,
upgrades,no_filter,,759,439,299,,,
monitors,no_filter,,773,184,138,,,
europe,no_filter,,779,352,282,,,
rates,no_filter,,791,421,293,,,
consultancy,subsuper,,796,2160,849,,,
promotions,subsuper,,797,272,170,,,
environmental,subsuper,,812,1278,519,,,
receiving,no_filter,,815,365,198,,,
interviews,subsuper,,820,548,333,,,
process improvement,no_filter,,824,1004,610,,,
respect,no_filter,,825,1273,1288,,,
campaign,subsuper,,828,690,397,,,
costing,subsuper,,837,672,358,,,
power,subsuper,,848,3547,1050,,,
social,subsuper,,857,5136,1423,,,
laboratory,subsuper,,900,1261,738,,,
science,subsuper,,909,23066,3328,,,
consistency,no_filter,,911,398,209,,,
consumer,subsuper,,917,1993,889,,,
networks,subsuper,,958,2057,1191,,,
analyses,no_filter,,966,549,418,,,
reduce,no_filter,,971,386,240,,,
sound,subsuper,,973,4830,3123,,,
channel,subsuper,,974,1176,466,,,
interaction,no_filter,,982,1706,991,,,
plant,subsuper,,988,1804,758,,,
decision making,subsuper,,1031,2410,1732,,,
hotel,subsuper,,1064,2686,1015,,,
skill,subsuper,,1069,12265,0,,,
profit,subsuper,,1070,659,400,,,
associate,no_filter,,1086,1102,703,,,
discipline,no_filter,,1131,14735,8536,,,
vision,subsuper,,1171,1698,988,,,
initiative,no_filter,,1184,10447,6846,,,
coverage,no_filter,,1184,983,573,,,
designs,subsuper,,1184,1197,518,,,
selection,subsuper,,1185,1496,1184,,,
verification,subsuper,,1189,657,397,,,
price,subsuper,,1190,343,226,,,
methodology,subsuper,,1192,2847,2041,,,
independent,no_filter,,1223,12691,7244,,,
food,subsuper,,1240,3590,1549,,,
event,subsuper,,1342,1603,621,,,
profitability,subsuper,,1369,431,258,,,
asset,subsuper,,1370,2163,1202,,,
audits,subsuper,,1380,610,320,,,
awareness,subsuper,,1408,2480,1326,,,
consulting,subsuper,,1428,5110,3015,,,
governance,no_filter,,1477,1338,683,,,
education,subsuper,,1487,15345,7867,,,
safe,no_filter,,1503,647,502,,,
integrity,no_filter,,1539,4327,2625,,,
self,subsuper,,1564,24476,15081,,,
supplier,subsuper,,1569,761,550,,,
purchase,no_filter,,1573,444,255,,,
budgets,subsuper,,1578,954,618,,,
proactive,no_filter,,1641,8653,5438,,,
innovation,subsuper,,1742,1570,1277,,,
consultant,no_filter,,1749,4566,1892,,,
engagement,subsuper,,1752,1881,889,,,
overseas,no_filter,,1762,2684,1800,,,
culture,subsuper,,1799,5044,3010,,,
expert,no_filter,,1805,3002,2239,,,
offices,no_filter,,1821,950,562,,,
forecast,no_filter,,1866,440,329,,,
controls,subsuper,,1900,2018,1041,,,
organisation,subsuper,,1902,4264,2511,,,
hardware,subsuper,,1934,3525,1881,,,
project manager,subsuper,,1943,1160,822,,,
stock,subsuper,,1967,692,321,,,
distribution,subsuper,,1996,1669,959,,,
competitive,subsuper,,2144,5532,3328,,,
benefits,subsuper,,2159,7042,3233,,,
contracts,subsuper,,2168,1344,713,,,
evaluation,subsuper,,2179,1181,735,,,
supervision,subsuper,,2194,8756,5339,,,
house,no_filter,,2284,1827,1217,,,
parties,no_filter,,2318,1622,1079,,,
best practices,no_filter,,2390,2774,2108,,,
consultants,no_filter,,2427,3163,1695,,,
policy,subsuper,,2459,2114,1428,,,
installation,subsuper,,2459,2236,1248,,,
regulatory,subsuper,,2519,4054,1753,,,
dynamic,no_filter,,2535,7398,4814,,,
efficiency,subsuper,,2582,1282,779,,,
vendor,subsuper,,2652,2725,1160,,,
commercial,subsuper,,2779,5695,3498,,,
innovative,subsuper,,2814,3511,2257,,,
change,subsuper,,2844,5881,3088,,,
impact,subsuper,,2844,2533,1775,,,
tracking,subsuper,,2881,1886,1052,,,
international,subsuper,,2919,7901,3987,,,
trends,no_filter,,2959,3459,2522,,,
inventory,subsuper,,2988,1744,871,,,
director,subsuper,,3310,1356,885,,,
feedback,no_filter,,3325,1584,1230,,,
levels,subsuper,,3332,14337,8611,,,
targets,no_filter,,3467,2161,1473,,,
responsibility,subsuper,,3563,4416,1715,,,
contract,subsuper,,3956,5775,2837,,,
