skill,filter_type,valid
ocean,subsuper,n
ocean engineering,subsuper,
ocean freight,subsuper,
optimisation,subsuper,
search engine optimisation,subsuper,
organisation,subsuper,n
events organisation,subsuper,
organisation development,subsuper,
organizing,subsuper,
events organizing,subsuper,
planning and organizing,subsuper,
orientation,subsuper,n
new hire orientation,subsuper,n
origination,subsuper,n
deal origination,subsuper,
otc,subsuper,
otc derivatives,subsuper,
partnering,subsuper,n
business partnering,subsuper,
hr business partnering,subsuper,
pbx,subsuper,
avaya pbx,subsuper,
pcr,subsuper,
real time pcr,subsuper,
personality,subsuper,n
friendly personality,subsuper,n
personality profiling,subsuper,
positive personality,subsuper,n
pgp,subsuper,
symantec pgp,subsuper,
plant,subsuper,n
plant commissioning,subsuper,
plant operations,subsuper,
sap plant maintenance,subsuper,
plc,subsuper,
siemens plc,subsuper,
pms,subsuper,
opera pms,subsuper,
policy,subsuper,n
policy formulation,subsuper,
information security policy,subsuper,
power,subsuper,n
convincing power,subsuper,n
power generators,subsuper,
power point,subsuper,
power saws,subsuper,
power transformers,subsuper,
hydraulic power units,subsuper,
microsoft power point,subsuper,
ms power point,subsuper,
power generation engines,subsuper,
power quality analyzers,subsuper,
premiere,subsuper,n
adobe premiere,subsuper,
presales,subsuper,n
technical presales,subsuper,
presentation,subsuper,
presentation preparation,subsuper,n
presentation software,subsuper,
presenting,subsuper,n
presenting to clients,subsuper,n
press,subsuper,n
press relations,subsuper,
price,subsuper,n
optical price scanners,subsuper,n
pricing,subsuper,
options pricing,subsuper,n
pricing negotiation,subsuper,
pricing software,subsuper,
printers,subsuper,n
barcode printers,subsuper,
document printers,subsuper,
inkjet printers,subsuper,
label printers,subsuper,
receipt printers,subsuper,
large format printers,subsuper,
multi function printers,subsuper,
producing,subsuper,n
line producing,subsuper,
profit,subsuper,n
profit improvement,subsuper,
not for profit,subsuper,n
profitability,subsuper,n
increased profitability,subsuper,n
profitability analysis,subsuper,
programming,subsuper,
android programming,subsuper,
basic programming,subsuper,n
dialog programming,subsuper,
java programming,subsuper,
python programming,subsuper,
vba programming,subsuper,
web programming,subsuper,
object oriented programming,subsuper,
promotions,subsuper,n
property,subsuper,n
property development,subsuper,
property investment,subsuper,
property sales,subsuper,
intellectual property issues,subsuper,n
intellectual property management,subsuper,
intellectual property strategy,subsuper,
quantitative,subsuper,n
quantitative analysis,subsuper,
quantitative modeling,subsuper,
radio,subsuper,n
radio frequency engineering,subsuper,
reactors,subsuper,
reality,subsuper,n
reality tv,subsuper,n
virtual reality software,subsuper,
recording,subsuper,n
digital recording equipment,subsuper,
recruitment,subsuper,
campus recruitment,subsuper,
executive recruitment,subsuper,
global recruitment,subsuper,
partner recruitment,subsuper,
recruitment operations,subsuper,
recruitment technology,subsuper,
student recruitment,subsuper,
recruitment and selection,subsuper,n
recruitment process outsourcing,subsuper,n
regulatory,subsuper,n
regulatory strategy,subsuper,
remedy,subsuper,n
remedy ticketing system,subsuper,
reservations,subsuper,n
residential,subsuper,n
residential projects,subsuper,
residential real estate,subsuper,
responsibility,subsuper,n
sense of responsibility,subsuper,n
reuters,subsuper,
reuters eikon,subsuper,
rewards,subsuper,n
rewards programs,subsuper,
total rewards,subsuper,n
route,subsuper,n
route cases,subsuper,n
sccm,subsuper,
sccm 2007,subsuper,
sccm 2012,subsuper,
science,subsuper,n
management science,subsuper,
material science,subsuper,
scm,subsuper,
sap scm,subsuper,
script,subsuper,n
perl script,subsuper,
shell script,subsuper,
sdlc,subsuper,
full sdlc,subsuper,n
secretarial,subsuper,
company secretarial,subsuper,n
corporate secretarial,subsuper,n
secretarial skills,subsuper,n
seismic,subsuper,
selection,subsuper,n
site selection,subsuper,
supplier selection,subsuper,
talent selection,subsuper,
self,subsuper,n
self driven,subsuper,n
self management,subsuper,n
self starter,subsuper,n
control self assessment,subsuper,n
selling,subsuper,
selling skills,subsuper,n
consultative selling style,subsuper,n
strategic selling skills,subsuper,n
shell,subsuper,
perl shell,subsuper,
unix shell scripting,subsuper,
ships,subsuper,n
cruise ships,subsuper,n
shooting,subsuper,
video shooting,subsuper,
siemens,subsuper,
siemens teamcenter,subsuper,n
simulation,subsuper,
circuit simulation,subsuper,
process simulation software,subsuper,
skill,subsuper,n
communication skill,subsuper,n
leadership skill,subsuper,n
negotiation skill,subsuper,n
smart,subsuper,
smart 400,subsuper,
smart homes,subsuper,
smart phones,subsuper,
social,subsuper,n
marketing social,subsuper,
social events,subsuper,
social services,subsuper,
social skills,subsuper,n
social work,subsuper,n
sound,subsuper,n
sound engineering,subsuper,
sound mixing,subsuper,
sox,subsuper,
compliance sox,subsuper,
sox compliance,subsuper,
sox compliancy,subsuper,
spc,subsuper,
spc charts,subsuper,
speaker,subsuper,n
speaker management,subsuper,
spectrometers,subsuper,
mass spectrometers,subsuper,
ss7,subsuper,
ss7 protocol,subsuper,
staffing,subsuper,
professional staffing,subsuper,n
staffing industry,subsuper,n
statutory,subsuper,
statutory reporting,subsuper,
stock,subsuper,n
stock options,subsuper,
employee stock options,subsuper,
strategist,subsuper,n
structuring,subsuper,
deal structuring,subsuper,
tax structuring,subsuper,
sun,subsuper,
sun solaris,subsuper,
sun system,subsuper,
supervision,subsuper,n
staff supervision,subsuper,
supervisory,subsuper,
supervisory experience,subsuper,n
supplements,subsuper,n
supplier,subsuper,n
supplier development,subsuper,
supplier quality,subsuper,n
